"entrezGeneId","hugoGeneSymbol"
25,"ABL1"
84142,"ABRAXAS1"
90,"ACVR1"
26523,"AGO1"
27161,"AGO2"
207,"AKT1"
208,"AKT2"
10000,"AKT3"
213,"ALB"
238,"ALK"
242,"ALOX12B"
139285,"AMER1"
29123,"ANKRD11"
324,"APC"
187,"APLNR"
367,"AR"
369,"ARAF"
2909,"ARHGAP35"
8289,"ARID1A"
57492,"ARID1B"
196528,"ARID2"
84159,"ARID5B"
171023,"ASXL1"
55252,"ASXL2"
472,"ATM"
545,"ATR"
546,"ATRX"
6314,"ATXN7"
6790,"AURKA"
9212,"AURKB"
8312,"AXIN1"
8313,"AXIN2"
558,"AXL"
567,"B2M"
29086,"BABAM1"
8314,"BAP1"
580,"BARD1"
27113,"BBC3"
8915,"BCL10"
596,"BCL2"
598,"BCL2L1"
10018,"BCL2L11"
604,"BCL6"
54880,"BCOR"
330,"BIRC3"
641,"BLM"
657,"BMPR1A"
673,"BRAF"
672,"BRCA1"
675,"BRCA2"
23476,"BRD4"
83990,"BRIP1"
695,"BTK"
811,"CALR"
84433,"CARD11"
10498,"CARM1"
841,"CASP8"
865,"CBFB"
867,"CBL"
595,"CCND1"
894,"CCND2"
896,"CCND3"
898,"CCNE1"
92002,"CCNQ"
29126,"CD274"
80381,"CD276"
973,"CD79A"
974,"CD79B"
998,"CDC42"
79577,"CDC73"
999,"CDH1"
51755,"CDK12"
1019,"CDK4"
1021,"CDK6"
1024,"CDK8"
1026,"CDKN1A"
1027,"CDKN1B"
1029,"CDKN2A"
1030,"CDKN2B"
1031,"CDKN2C"
1050,"CEBPA"
1058,"CENPA"
1111,"CHEK1"
11200,"CHEK2"
23152,"CIC"
55783,"CMTR2"
64326,"COP1"
1387,"CREBBP"
1399,"CRKL"
64109,"CRLF2"
7812,"CSDE1"
1436,"CSF1R"
1441,"CSF3R"
10664,"CTCF"
1493,"CTLA4"
1499,"CTNNB1"
9646,"CTR9"
8452,"CUL3"
7852,"CXCR4"
1540,"CYLD"
1588,"CYP19A1"
57105,"CYSLTR2"
1616,"DAXX"
54165,"DCUN1D1"
4921,"DDR2"
23405,"DICER1"
22894,"DIS3"
3337,"DNAJB1"
1786,"DNMT1"
1788,"DNMT3A"
1789,"DNMT3B"
84444,"DOT1L"
29102,"DROSHA"
1846,"DUSP4"
1871,"E2F3"
8726,"EED"
51162,"EGFL7"
1956,"EGFR"
1964,"EIF1AX"
1974,"EIF4A2"
1977,"EIF4E"
1999,"ELF3"
6921,"ELOC"
2033,"EP300"
2034,"EPAS1"
4072,"EPCAM"
2042,"EPHA3"
2044,"EPHA5"
2045,"EPHA7"
2047,"EPHB1"
2064,"ERBB2"
2065,"ERBB3"
2066,"ERBB4"
2068,"ERCC2"
2071,"ERCC3"
2072,"ERCC4"
2073,"ERCC5"
2077,"ERF"
2078,"ERG"
54206,"ERRFI1"
2099,"ESR1"
54465,"ETAA1"
2115,"ETV1"
2120,"ETV6"
2145,"EZH1"
2146,"EZH2"
340602,"EZHIP"
2175,"FANCA"
2176,"FANCC"
2195,"FAT1"
55294,"FBXW7"
9965,"FGF19"
2248,"FGF3"
2249,"FGF4"
2260,"FGFR1"
2263,"FGFR2"
2261,"FGFR3"
2264,"FGFR4"
2271,"FH"
201163,"FLCN"
2321,"FLT1"
2322,"FLT3"
2324,"FLT4"
3169,"FOXA1"
2294,"FOXF1"
668,"FOXL2"
2308,"FOXO1"
27086,"FOXP1"
8880,"FUBP1"
2534,"FYN"
2549,"GAB1"
9846,"GAB2"
2623,"GATA1"
2624,"GATA2"
2625,"GATA3"
2735,"GLI1"
2767,"GNA11"
2776,"GNAQ"
2778,"GNAS"
2782,"GNB1"
2874,"GPS2"
26585,"GREM1"
2903,"GRIN2A"
2932,"GSK3B"
3006,"H1-2"
3017,"H2BC5"
3020,"H3-3A"
3021,"H3-3B"
8290,"H3-4"
440093,"H3-5"
8350,"H3C1"
8357,"H3C10"
8354,"H3C11"
8356,"H3C12"
653604,"H3C13"
126961,"H3C14"
8358,"H3C2"
8352,"H3C3"
8351,"H3C4"
8353,"H3C6"
8968,"H3C7"
8355,"H3C8"
3082,"HGF"
3105,"HLA-A"
3106,"HLA-B"
3107,"HLA-C"
6927,"HNF1A"
10481,"HOXB13"
3265,"HRAS"
23308,"ICOSLG"
3399,"ID3"
3417,"IDH1"
3418,"IDH2"
3459,"IFNGR1"
3479,"IGF1"
3480,"IGF1R"
3481,"IGF2"
9641,"IKBKE"
10320,"IKZF1"
3586,"IL10"
3575,"IL7R"
3623,"INHA"
3624,"INHBA"
3631,"INPP4A"
8821,"INPP4B"
3636,"INPPL1"
3643,"INSR"
3662,"IRF4"
3667,"IRS1"
8660,"IRS2"
3716,"JAK1"
3717,"JAK2"
3718,"JAK3"
3725,"JUN"
55709,"KBTBD4"
5927,"KDM5A"
8242,"KDM5C"
7403,"KDM6A"
3791,"KDR"
9817,"KEAP1"
3815,"KIT"
